item,calories,fat_g,carb_g,fiber_g,protein_g,retailer
Pecan Tart,330,18,39,1,4,Starbucks
Petite Vanilla Bean Scone,120,4.5,18,0,2,Starbucks
Pirate Cake Pop,180,9,24,0,1,Starbucks
Pittsburgh Creme Donut (Regional),350,16,47,1,5,Dunkin Donuts
Plain Bagel,280,1.5,56,2,9,Starbucks
Plain Bagel,300,1,64,4,11,Dunkin Donuts
Plain Croissant,340,19,37,1,6,Dunkin Donuts
Plain Stick,410,30,31,1,4,Dunkin Donuts
Powdered Donut,330,20,34,1,4,Dunkin Donuts
Powdered Munchkins,60,3.5,6,0,1,Dunkin Donuts
Powdered Stick,440,31,36,1,4,Dunkin Donuts
Power Breakfast Sandwich,420,23,28,5,25,Dunkin Donuts
Pumpkin Bread,410,15,63,2,6,Starbucks
Raspberry Swirl Loaf Cake,420,17,61,1,6,Starbucks
Raspberry Whoopie Pie,360,18,45,1,3,Starbucks
Reduced-Fat Cinnamon Swirl Coffee Cake,370,9,67,2,5,Starbucks
Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6,28,2,16,Starbucks
Roasted Carrot & Kale Side Salad,440,26,44,7,10,Starbucks
Roasted Tomato & Mozzarella Panini,420,18,47,3,11,Starbucks
Roasted Turkey & Dill Havarti Sandwich,600,32,47,6,32,Starbucks
S'mores Bar,330,17,44,1,2,Starbucks
S'mores Bar Multipack,330,17,44,1,2,Starbucks
Sausage Biscuit (Regional),490,34,32,1,13,Dunkin Donuts
Sausage Cheddar & Egg Breakfast Sandwich,500,28,41,1,15,Starbucks
"Sausage, Egg and Cheese on a Plain Bagel",680,34,68,5,26,Dunkin Donuts
"Sausage, Egg and Cheese on Croissant",720,52,42,2,21,Dunkin Donuts
"Sausage, Egg and Cheese on English Muffin",560,35,40,2,21,Dunkin Donuts
"Sausage, Egg and Cheese Wake-Up Wrap",290,21,15,1,10,Dunkin Donuts
Seared Steak & Cheddar Sandwich,530,29,44,2,23,Starbucks
Seared Steak Egg & Tomatillo Wrap,410,18,43,2,21,Starbucks
Seasonal Fruit Blend,90,0,24,4,1,Starbucks
Sesame Seed Bagel,350,5,64,5,12,Dunkin Donuts
Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18,31,1,16,Starbucks
Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450,23,42,1,24,Starbucks
Smoked Mozzarella & Roasted Pepper Sandwich,500,28,46,4,18,Starbucks
Smoked Turkey Protein Box,360,12,42,5,24,Starbucks
Soft Serve Cone,260,9,35,1,9,Dunkin Donuts
Sour Cream Donut,360,17,49,1,4,Dunkin Donuts
Sous Vide Egg Bites: Bacon & Gruyere,310,22,9,0,19,Starbucks
Sous Vide Egg Bites: Egg White & Red Pepper,170,7,13,1,13,Starbucks
Spam Breakfast Sandwich,630,42,41,1,20,Dunkin Donuts
Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500,30,35,3,26,Starbucks
Spinach Feta & Cage Free Egg White Breakfast Wrap,290,10,33,6,19,Starbucks
Sprouted Grain Vegan Bagel,330,6,57,7,12,Starbucks
Strawberries & Jam Sandwich,600,25,80,10,19,Starbucks
Strawberry Cake Pop,180,9,23,0,2,Starbucks
Strawberry Coolatta Float,420,12,68,1,11,Dunkin Donuts
Strawberry Cream Cheese Spread,130,10,9,0,2,Dunkin Donuts
Strawberry Frosted Donut,260,11,35,1,4,Dunkin Donuts
Strawberry Frosted with Sprinkles Donut,270,12,37,1,4,Dunkin Donuts
Sugared Donut,210,11,24,1,4,Dunkin Donuts
Sugared Stick,420,30,34,1,4,Dunkin Donuts
Sweet Black Pepper Bacon Sandwich,650,41,46,1,23,Dunkin Donuts
Sweet Black Pepper Bacon Wake-Up Wrap,260,16,17,0,12,Dunkin Donuts
Sweet Black Pepper Snacking Bacon,190,12,10,0,10,Dunkin Donuts
Taillight Donut,320,15,41,1,4,Dunkin Donuts
The Classic - Bantam Bagels (2 Pack),200,8,28,0,6,Starbucks
Toasted Coconut Donut,430,22,52,3,5,Dunkin Donuts
Toffeedoodle,300,13,44,1,3,Starbucks
Turkey & Fire-Roasted Corn Salad,560,29,53,7,24,Starbucks
Turkey & Havarti Sandwich,460,21,31,2,29,Starbucks
Turkey Pesto Panini,560,23,55,3,34,Starbucks
Turkey Sausage DD Smart Wake Up Wrap,240,14,15,0,13,Dunkin Donuts
Turkey Sausage Sandwich on English Muffin,460,22,39,1,26,Dunkin Donuts
Turkey Sausage Wake Up Wrap,240,15,15,0,11,Dunkin Donuts
Vanilla Bean Whoopie Pie,360,18,45,1,3,Starbucks
Vanilla Creme Donut,300,15,37,1,4,Dunkin Donuts
Vanilla Frosted Donut,260,11,35,1,4,Dunkin Donuts
Vanilla Frosted with Sprinkles Donut,270,11,38,1,4,Dunkin Donuts
Vanilla Headlight Donut,310,15,41,1,4,Dunkin Donuts
Vanilla Long John,320,15,42,1,5,Dunkin Donuts
Veggie Egg White DD Smart Wake-Up Wrap,150,7,15,1,7,Dunkin Donuts
Veggie Egg White Sandwich on a Multigrain Thin,290,13,27,5,17,Dunkin Donuts
Veggie Egg White Wake-Up Wrap,190,10,15,1,9,Dunkin Donuts
Vermont Maple Walnut Muffin,390,21,45,2,6,Starbucks
Volpi Pepperoni & Tomato Savory Foldover,270,14,27,2,10,Starbucks
White Cheddar Bagel Twist,390,8,64,4,16,Dunkin Donuts
Za'atar Chicken & Lemon Tahini Salad,570,23,67,11,27,Starbucks
